clean_text,category
logic word defi foreverusa econom militarili scientif superior nation fool said make america great percent fool agre without counter questionthes modi clan similar,1
want modi sir prime minist long time prove includ mani peopl modi sir think prove think benefit,1
cant chowkidar brahmin subramanian swami,0
trend noth fool peopl hope vote congress atleast vision someth countri rahul gandhi partymen would modi agenda,0
apprehens real gut feel stem ground realiti sure modi india long year come,1
congress year wasnt abl complet one rafal deal bjp year alreadi complet rafal deal deliveri rafal start sept alreadi start proceed anoth fighter jet deal congress say modi hack evm,1
dirti polit start doo whatev modi papu raffl raffl fail chokdar chor chor chor chor chor machye soor aur abb apn ristdaar mare hai proof chaye,2
chowkidar hee chor hain baap chor beta bada chor aur unk gujju dost maa tukdo kharidn jurrat bhi kartein hain sab chor hain aaj bjp kal nahi high time junta realis bjp upto one time modi remain,1
transform indian railway modiji governmenta step step inform,0
jd mla ask peopl slap seek vote modi,0
hope hindustan take countri field scientif technolog come day possibl modi anoth yr jai hind,2
two option elect choos lotu lootu nice line seen banner bangalor want india modifi agar majburi naam mahatma gandhi hai majbuti naam narendra modi hai modi vision rahul divis,1
need modi lead bjp govern jammu kashmir polic say baramula free local terrorist year vote new india namo,1
dont know mani father mother idea kid start end career make punctur think way other wais amit modi kaun hai naya aya hai kya maidan mein,1
boycott congress behter india want modi,0
modi promis congr free hindustan hold govern state three state vote opposit mere lie penanc doubt honest man mandat modiji heavili wash thier sin modi met promis,1
think modi behind accid,2
rajasthan governor rd march bjp worker want bjp emerg victori want modi becom import countri,1
come india announc resign today get new nirav modi process,1
modi hater definit say dub acha kiya,0
sinc inc insist singl standard rate cap arrog modi sarkar destroy msme yr world complic rate modif,2
piggyback modi wave one knew polit way win especi whole bjp nosediv bihar rahul regain lac major,1
lost hope job pak tvanchor may wen modi resum second tym fear vanish lyk thapar oblivion whatev anti modi job sinc croc tear wont work patriot india everybodi know wat,0
found articl,0
fyi late kuldip nayar write book titl leader icon jinnah modi indira gandhi insist cremat shastri allahabd lalita shstri threaten fast onto death buri raj ghat jai jawan jai kisan inscript,2
intent clearli correct jave akhtar modi credit,2
pappu kejri mamata look modi bought microsoft must arrang morcha protest,0
unemploy rate year high male labor forc shrink sinc due fear expos modi didnt dare publish employ report mudra scheme till date,1
gawar bhakt jali also stupid bio say counter fake news propaganda lmao narendra modi biopic propaganda lol,1
also mean even congress come power cannot say congress great job lot thing start proceed modi govt pleas dont forget futur,1
stolen k given nirav modi shame recov person loss cheat custom fraud bank pleas open account thiev pnb worst bank india shame,2
sharad pawar slam modi govern fail job promis via,0
rajasthan governor kalyan singh aligarh rd march bjp worker want bjp emerg victori want modi becom,0
lol neeha ju like give head butcher even human,1
like modi,0
unambigu analysi rafael pil champ modi govern,0
modi wasnt ambedkar timebesid learn historyignor blissambedkar came constitu assemblyvia west bengal aid mondal,1
thank anu sharma vote make sure peopl know motiv vote modi,1
billion muslim one individu like hindu genocid modi,1
modi govt came power late may sanjay jhaji admit accept fact last two year upa govt bad peopl lost job,2
boss express view sever time past month heavi heartbut vote heart jara heart halka karo,2
five year ago peopl vote modi wear namo tshirt vote,0
mani brahmin becom chowkidhar,1
modi got vote nda allianc partner got vote way contest vote cross get massiv gain seat sidjiwon,0
subject femal dietyit show domin femal areso point right alreadi domin rest misogynist crap cook chauvinist male,2
toi prestitut pork much pig owaisi publish news,1
show modi lie hatr itna hai polit parti pakistan mil jaeng,0
person beat modi modi need play old video,1
renown lyricist happi clarificationclick know,2
journalist writer bureaucrat given lakhmonth write modi cambridg analytica via,0
know that enough alreadi simpl question regard don hijaab play azan parliament media channel modi didnt came pictur anywher bash modi whenev possibl that trend,0
pleas vote made life miser modi govt,2
one vote make differ answer modi elect clarion call extend support campaign,0
lie modi expos fact,0
congress walo baar cunao mei pata lag jayega modi request wait enjoy moment,1
go analog modi chacha bhatija second thought actual,0
world biggest electr car manufactur confirm enter india ceo founder tesla motor confirm today one biggest make india success modi,1
cant write one singl tweet without blame modi,2
construct waterway day dream accord arrog bjp minist india infrastructur everyth creat modiar fool trust guy,0
tongu wag owaisi bash modi loafer lawyer dog wag tail love loyalti freedom express restrict legal action taken maintain decorum without fear merci peopl parti must ban,1
mr koppalatota namo walk namo park mathiker bangalor last saturday mani peopl join team show enthusiasm narendra modi prime minist,1
grace congress pay cost coalit congress bhai yeh modi met thopana,0
stop compar bigot mass murder modi someon like imran khan,0
modi urg note person spread voter awar via namo app,0
would modi serious,2
saw speech today modi could see rdxye cant see connect satellit mobil conect satelit,0
narendra modi decadeold decis fructifi japanes township gujarat firstpost,0
happen islam,0
ye alway modi funni guy,1
right modi keep watch rich corrupt famili follow,1
happen modi took mic karan thapar famou via,1
final day modi govern adani project jharkhand becom india first power sector sez decis save compani billion annual clean energi cess alon,1
modi urg note person spread voter awar time india via,0
modi real fake,2
true hve also reaffirm vote allegi time,1
true sir that modi sir allianc creat scam corrupt,1
one vote make differ anil kapoor answer modi elect clarion call extend support vote kar campaign via namo app,0
sushma swaraj recount narendra modi govt success last year say voter judg base commit firstpost,0
year modinom made airlin bankrupt that modi touch,0
raghuram rajan sent list high profil bank fraudster modi earli month offic thereaft remind modi fail act narendra modi campaign sheer hypocrisi,2
ratan tata lavish prais say deliv,0
vote ensur govt need deserv anupam kher respond modi vote kar appeal elect via namo app,0
thank much endors best qualiti modi,1
tag fast grow youtub care abt countri thatacc modi destroy democracyh blind fold politician look good bad bad good sarcasm,2
dnt turn pakistan india like situat million muslim got kill terrorist modi,2
sinc modi came power alway feel rahul gandhi alway mute mean cant hear,2
vapa lana hai desh agey badana hai vote modi vote develop right everi citizen,1
governor kalyan singh aligarh rd march worker want bjp emerg victori want modi becom import countri,1
go thru comedi speech shri rahul gandhii come conclus competitor modi rakhi sawant self obsess cannot compar kapil sharma far better comedian shri rahul gandhi,1
centr state govt work togeth make india tbfree narendra modi via namo app,0
modi govt hindu behav wildli,1
cant critic anyon enemi countri pull narendra modi name,0
sanit campaign run modi affect jai bhagwan goyal shahdara north eastern launch cleanli campaign sever place delhi,0
poor kejriw predict modi rule till etern get nightmar see modi sit diamond stud golden throne cri beg front awaken see beg front shiela dikshit,2
even print serious what elect modi entir opposit what agenda defeat modi noon say anyth nation,2
new post ad mumbai press offici site produc sandip ssingh turn singer narendra modi biopic,1
kindli elabor dharma friendli action modi like rte hunar haat let ganga tyagi die ayodhya delay etc,1
copi cat like pakistan miadad tri copi srikant revers shot got congress copi modi,0
ayyo show immatur made pappu modi run away varanasi,0
shud convinc mat bhaai vote modi convert mote voter time namo convinc opportunist say sir,1
see languag chowkidar tweet bhi sab bjp problem support modi amit sha dont use bad laugh cultur rss,2
dont live denial modi economi doldrum jobless growth make nation edgi agrarian crisi worsen nation secur question massiv intellig failur pulwama attack embrac chang,2
hahahait like happi modi leadershipur worri remain forev want defeatedhow dumb reason realli iit iti done well ppl definit keep forev,1
must read,0
ppl deserv bjp modi alway neg nonsens thing opposit shout master stroke everi idiot idea bjp,2
modi utmost import,0
modi villag electrif among world biggest success year say report,0
balakot govt releas death toll proof bhakt antin dare question armi ask proof saal chale pakistan ask proof imran khan said receiv modi pak day bhakt mute,0
demo black money caught modi inspit rbi warn bhakt atleast gut elect babu bajrangi gut admit stab womb pregnant muslim broad daylight bhakt mute,1
airstrik bhakt modi say rafal result would differ true wah modiji wah insult hero like abhinandan mean govt fail time bhakt antin bhaago chale pakistan,2
soon new elect rascal racist extremist murder behind bar modi select worst,2
modi locket chatterje lokshava,0
hoshiyar zardari bilaw baghawat sazish bilaw bhutto via rememb asif ali zardari shiit nonmuslim blood never patriot pakistan modi attack mayb invit zardar nawaz sharif,0
what bollywood congress promot mediocr forefront common peopl deserv someth better dont,0
never vote modi,0
want see countri becom superpow thn vote strong govt polit make countri superpow modi polit power take countri lot forward isliy india,1
congress need allianc counter modi relianc,0
modi govt met disinvest target one public sector compani bought anoth,0
varanasi loksabha seat modi aap give congress congress give give bsp bsp candid join bjp much fun,1
pledg first vote modi,1
look one say modi perfect cours better pappu prime minist even congress present oth intellig candid would understand even present tharoor murder case would understan,1
modi sir pleas help,0
modi never declar chowkidar pulwama theft dataexpert data fudginggdp unemploy includ design templat fake degre certif declar chowkidar bjp fund collect thru elector bond,2
your hindu nationalist punish modi,0
voter choos wise reject modi put vika revers gear disastr demonetis badli execut gst india need gst reform experienc best bet,1
congress rule enabl chaiwalanow chowkidar didnt allow hatredrss grow cud modi becom way mind shrunk mani thing congress made today use includ independ,1
call modi demon den must know pisach,0
due autom artifici intellig job decreas sure irrespect govt modi focu start bring job self employ,1
adani upadhyay later middl man introduc adani modi long back,2
defeat modi els prime minist ever arvind kejriw india news time india,0
anti tri use fact logic sway mass way base elector base sway hatr minor,2
parti expert loot exploit modi rememb ram manohar lohia target mahamilawat via namo app,0
good peopl india nationalist want modi forev elect wast money lead corrupt violenc opposit,1
modi chowkidar campaign nonstart,0
gujrat model failur modi lie,2
ego readi accept failur modi,2
kay bola hoga know modimodimodi tell one stori gang chor act visit market one chori pass iteam next first chor shout chor chor chor chor papu like,1
shatrughan sinha far bigger public figur siddiqui bigot support requir bjp rant rant rant much wont make differ modi cant defeat,1
modi cheerlead help sell tshit cap,0
modi prepar manifesto includ relief tax payer high way toll tax current situat tax payer like doubl taxat,1
salman khan good actor great jokeh relat act like modi relat usmuslim,1
hindutva terror enjoy tacit support modi govern overwhelm major antimuslim lynch occur sinc mani attack acquittedbrut aginst muslim famili india,1
subbu swami right think right order get work done chowkidar let modi blind bhakt put pakodawala chaiwala jamadaar wish exercis freedom appoint chowkidar sack,1
ppl gone crazi modi came,2
modi held singl press confer speak answer question fals speech public confer look forward prime minist,2
agenda defeat bjp could told develop agenda health care mani issu one defeat modi,1
drswami timesnow last year debat nearli million view modi timesnow interview million view,1
dear beti sapna bjp mla gave stupid remarkson see join chor cong parti much effortsdid much yourfamili one thing share youif contest elect modi bjp much bettersuggest like fathergood wish regard,2
modi darl busi must,0
trump let make america great let make china superpow modi let make everyon,1
hihihi balanc act blame modi even remot link,1
namaskar bharat mey bhi choukidar hun bharat maa centr state govt work togeth make india tbfree narendra modi,0
rahul gandhi inher transpar honest identifi everi indian lie hypocrisi falsehood modi rule thing past,1
toler whole india year toler poor toler religion support one even toler parti member toler nation question indian armi talk toler,1
modi boast digit wait deposit cash sbi mahim deposit th mar butch honour old format appli beech book may take week deposit ppf mar,1
pleas verifi tweet claim bjp leader forc nirav modi flee india,2
imagin much karnataka economi would flourish modi leadership,1
rememb bjp hindu parti move cautious turmoil major proport toppl develop agenda,1
fool inexperienc damag rule lessmodi hatao india bachao,1
see lutyen anti modi mindset,0
ratan tata optimist prais modi leadership new india,1
arrest nirav modi rule law,2
deram make new india make countri super power world politc congresssp aapjd agenda elect stop modi dont agend develop guy vote,1
former odisha dgp prakash mishra join bjp contest cuttack lok sabha seat prais modi respons pulwama strike also stress time parivartana odisha bjp odisha look strong,1
mother troubl one demonot use joke jitna bacha rakha tha sab modi jama kara diy today bank manag told elig got bless bless,1
countri like india youth peopl think rise growth modi spread idea sell pakoda becom chowkidar definitli distress mani peopl,1
concern modi come back take challeng deserv second term alongsid continu reform push india anoth level prosper develop,0
deserv punish hate speech,2
indian alreadi win modi complet tripl centuri chamcha contribut less one centuri,1
led global rise discont fan social media give impetu populist leader brilliant essay london school econom,1
modi return power becom foreverwhat sisodiaji overthrow cmship,0
wherev injustic peopl feel right blame modi farmer rais issu state govt fight elect state parti answer simpl caus modi aggress peopl india believ resolv issu,1
gaali polit return andhra pradesh chandrababu naidu call narendra modi quotdemonquot look demon corrupt gaddar neta,2
hahathi salmasabrina flavor twistsociopath salma say modi govt care rich ignoresrob poor sabrina vadri quot like mao red book quotat,2
almost crore spent ganga pollut modi watch,1
dont worri minist indian muslim develop much better life live standard life pakistan dont fear modi cheap tweet govern,1
pakistan cri name modi everi day nation support india airstrik electrif thousand villag independ indian economi becam th largest economi world year,2
modi vote nota,0
gandhi entrust take final call coalit aap hear senior leader stand issu follow live updat,1
kamal haasan take chowkidar modi kamal haasan modi rich man guard stop poor peopl enter,2
ppl keep thier name india god name say anyth thank modi polic way work ppl like get expos slowli slowli burkah went kargil use sattlit phone also help othersid true tell,2
typic liason mutual benefit modi way amount cheat nation,2
versu faceless opposit poll say,0
never said modi succeed yet even also critic modi better plan demonotis believ better rahul gandhi,1
free cost mtlb chunav prachar bhi hum kare pese bhi hum wah modi wah aes bane yrrr,1
true modi govfail provid employ,1
india want leader vision success build strong unit india fight intern well extern enemi could repres india global platform qualiti exist modi,1
foundat new india alreadi laid modi govt vision hous health educ india realis aspir toward prosper futur via namo app,1
chang profil pictur add strength movement appeal one join prime minist modi endeavour,0
dear governorani let peopl indian much rbi given modi govt last five year pleas inform outcom demonet amt circul howmuch note deposit rbihow much fake currenc detectedbenifit nation,2
tweet telugu touch local issu dont simpli ride modi wave get ground immedi twitter english wont work guy simpli wast year time,1
modi pl come karnataka show power youth campaign pl come,0
akbaruddin owaisi challeng modi question main bhi chowkidar campaign,1
drawn iterinari tour ram templ sardar patel statu chatrapati shivaji museum pune etc last year yet sure life time abl realis,1
better exampl namak harami say anyth modi fine extent support one shout divid india serious rais question regard fund conscienc,1
govern bjp becom circu ringmast lion tiger whip crack lamb rabbitsther cours enough clown say elect via,0
major reason social hatr strife modi rule lack employ opportun expand employ avenu cong ensur individu happi social harmoni,1
young dynam chowkidar say modi anti india,1
pl watch video decod opposit aim remov modi,0
pleas sell forest pleas make india desert request chowkidar first protect environ anyth els dont dilut env law,1
modimodii say time slave hdd gut come slap show hell,0
modi blog lohia opposit parti friendli media damag control mode hypocrisi ramshackl group parti opposit appal,1
tulsi gabbard reject interview tyt chat tucker carlson tucker carlson one world promin white nationalist propagandist also support drone strike tortur support modi assad genocid monster leftist,1
statur yeah right stand tall pile lie modi,1
even massiv mandat seat nda govern modi abl anyth impress here excel analysi maitreesh ghatak udayan mukherje,1
manifesto except modi haataaoo,0
vote modi vote better futur,1
arvind fear modi saab,0
indian movi produc desper produc narendra modi biopic even end career polit think taimur biopic far,2
best wish elect wish god win huge number vote india need leader like also parti like bjp sri modi prime minist india may thursday,1
sir one request bjp candid contest mandya felt bad vote first time last year vote mandya also huge modi fan could put candid mandya,2
public toilet near kanagadurga templ nizampeteaten money given modi govtcheat,1
rajdeep think got imran indian never combin case like di whenev talk imran dont comparison modi becom stale,2
time blind faith modi absolut hate congress milind deora elect news indian express via,2
wat chindi modi wen saya vanakkam puddhucherri wen ask women safeti india,0
china worri new stanc modi govt,1
petrifi modi remain firmli saddl like gujarat,2
wrong actual temperatur might parti face modi heatwav sure henc degre,1
india rupe goe asia worst bestperform currenc five week via,2
modi bhakt tell lie rahul rahul pidi tell truth modi like cong say k ran god revel proof lord ram like arab ideolog follow peac hol give birth terr rism,1
btw prakash raj contest blore central ye modi scare,0
true congi start campaign modi scare best fight whichev second seat prefer contestor let smritiji contest wayanad elsewher,1
major reason social hatr strife modi rule lack employ opportun expand employ avenu cong ensur individu happi social harmoni,1
cow vigilant moral polic minu real growth put mani support thought modi could actual bring chang chang cow import human soon countri cow best luck run cow janta,1
rjd leader tejashwi yadav public thanedar teach chowkidar lesson elect public modi modi cheat countrymen countri saw maximum unemploy regim commun forc becom stronger,0
modi arriv support better india know got last year parti chang chang problem common peopl remain everi vote everi elect lesson,1
sell dream sell tshirt modi sure come long way,1
modi rahul firm narr elect crisscross,2
modi govt failur call congress govt minu rao rest includ vajpaye disgrac india,2
allow modi,0
forgiv terribl irrespons immatur abdic duti cant forgiv rapist killer reason punish larger implic human btw forgiv modi defeat,2
ye peopl think modi alon doesnot make sens bjp almost allianc partner right bjp expert set fake narr,2
chowkidar name call word thrown modi rahul gandhi foolishli happi mani opposit circuit fluster,1
would better ask credibl intellectu oppos modi record would fun,1
bjp hit right note choic symbol polit messag differ chowkidari leadership,1
correct faith trust modishah combo,0
nobodi ask pakistan love countri modi modi order support argument gurugram incid govt support,1
jai new india mumkin modi come power,1
worri vote worri modi also take care lick abil modi pay attent becom next smriti,0
sir mam shabana azami hate much seen critic govt time tseri contract sign narind modi film song shameful,2
pakistan girl wear whatev want cant roam street,0
ye agre narend modi phir,0
great modi trap way congress walk,1
know go dirti detail nehru famili get gutter level nehru cudnt get edwina indira mathai yoga mat mathai write book dirti mind blame modinow pervert hatr poison mind kill logic think,2
ye cannot make knee jerk move drastic action even legal parliment via plea ammend ratif via court art minor address make major also part parcel right,1
bhi chokidar support modi sir clean india,1
mani matter nation objecft requir seriou remain modi rahul trivial chowkidar issu polit statndard declin substandard level,1
congress star campaign attack tshirt seller show issu rais modi govern,0
chowkidar modi ensur case open accus get prosecut legal hurdl settl prosecut illeg money return govt kitti ensur windfal revenu govt crook join togeth safeguard illeg wealth modi take,2
tell favorit person twitter encourag peopl vote mani retweet thank happen much move vote twitter provid evm also,1
ye bjp fall short individu parti cong would around may bjp modi,0
go extrem pleas dont call peopl antinarion dont vote bjp modi free choos vote,1
whatsapp two option elect choos lotu lootu nice line seen banner bangalor want india modifi modi vision rahul divis other televis,1
must vote modi,0
mam pray speedi recoveri let know way support help regard modi bhakt rashtra bhakt keep asid differ opinion life individu stakecultur matter,0
nope ganga got even dirtier four year modi govt said scientif report govt hid brought fact,0
suli bele sir felt bad time cannot vote bcz mandya bjp candid modi fan mandya also dont know candid contest mandya last yr vote vote bjp elect time vote bodi,2
imran khan alreadi act modi never act pleas stop tri equat two never,0
call secular leader repli like priest disturb peac area prais modi prais modi attack peac love noora ali priest arrest charg disturb peac,2
one see fake calcul calsi chek kariy modi,2
modi next request kindli reconsid assam preview cab help keep imag ever,1
practic sati johar etc gain promin mughal invas ignor porki shameless peopl brutal rape convers polygami halala fgm burqa marri rel dont wast time,2
modi,0
anoth one expect defeat modi without contest elect join grow list hope,0
jai hind modi nice thought,1
neither junior modi senior modi take unscript question,0
campaign low hang fruit seem give free public browni point modi champion democraci raga camp put effort could done someth similar,1
must read final day modi govern adani project jharkhand becom india first power sector sez via,1
india becom islam nation sure hindu nation modi rule dalitstan hindu vote without fear muslim rule use nota massiv show non confid polit systempolitician,1
last thing indian need keep go modi,0
rahul gandhi polit love defeat modi polit hate time vote love hate,2
one hard work minist modi govt opposit afraid modi popular work knowif got anoth yrshi initi project get complet thentheir fals alleg vanish achiev cloud,2
opposit alway resort mockeri person attack commun divid unhealthi critic agenda remov modi purpos even alli arch rival bsp feel heat expos peopl,2
yesjaitley evalu modi correct modi suffer dunningkrugereffectthat mean modi bia illusori superior come inabl lowabl peopl recognis lack abil hr hard workingchestthump etc,2
document reveal modi javadekar war india environ huffpost india,0
rs per tweet correct pakdaso modi zaman price itna girgaya let vote someoth govtbhav badao,0
modi come power convert savarna hindu reserv scst increas chaiwala pakodawala chowkidar nautankibaaz banaog toh hindu destroy karega chalega,2
modi remov name voter list aap allegedli call peopl pretend radio channel via,2
stop bull shit worri crimin vivek oberoi play role feku modi nation shame movi made,2
saal petrol price today even year saal tomato tuar daal onion potato price even year saal india becom world rd largest economi saal road electr ga cylind modi,0
still believ manu vadi ideolog indirectli want say modi deserv chowkidar instead prime minist,1
guy reason vote pleas read understand got reason vote modi save horribl unimagin nightmar,2
modi crippl economi destroy job far creat new job fact destroy job crore job destroy,1
schopenhau foretold renaiss india hindu nation influenc modi leadership foretold influenc would moment europ becam well known reviv greek latin cultur dark age,2
strict polic health system sir regul last thing mci ima allow ima come banner poster even first hint kind regulatori attempt state even full major modi govt couldnt pass nmc bill,1
one best minist modi cabinet,1
bastion say even netaji want,1
govt satisfi everyon failur govt mean tht modi well countri anudeshok satisfiedit mean modi satisfi million garib famili ga connect ayushman etc pl dnt selfish,2
phrase hindi jaisi praja waisa raja indian praja full idiot bhakt henc elect modi peopl never experi well educ person prime leader countri,1
curiou case congress porkistan similar come burn like hell self afflict far hate modi polici concern pertin point apna chowkidar kuch sahi kar raha hoga rattl entiti,2
would like play devil advoc suspectbelievehypothes cow lynch one issu opposit media want highlight uniqu bjp problem spike modi becam,1
modi team great make look like salesman,1
must alway talk languag detractor understand tri show solidar jihadi victim offer option convert,0
well use incom surviv modi make market propaganda feel differ,2
modi month via bjp singh rawat,0
modi remain next year till time opposit get develop strong leader like rank file,2
opinion nri disappoint modi modi madison squar wembley fact nowher horizon write read,2
time felt modi made misstep give exharvard prof cabinet berth endammo modi wise dodg bulletloos cannon ball,1
messag modi shah hindu mob murder rapist slaughter fetus bajrang dal vhp rss variou sena goon hindu terrorist gener,1
support kanjarw belief modi time,0
modi kaa ralli,0
want modi gandu,0
shame word unknown modi croni pakistan start rais concern routin lynch tortur case muslim suffer india may keep shut next time theyv shame,2
india elect congress bjp rahul modi india sanghistan love hatr secular commun plural homogen inclus exclus dialogu monologu,1
saharanpur muslim popul accord consensu would noth less today bsp congress field muslim candid congress field candid proudli brag popul swear chop modi rememb vote,1
urg south state india peopl support respect heart mind modi lag behind nation independ due neta propaganda religion languag local strategycastescreedsregion bia kith kind etc,2
mention must made fare hike modi govt order keep fill coffer alreadi bloat blood money ill gotten gain despit vocifer protest delhi govt see gon get saw full paisa vasool entertain,2
ye alreadi anybodi name modi scam escap countri,0
modi govt control price petrolseidel effect effici sonia regim time high,1
chowkidar chowkidar chela dilut environ law countri,1
result expect huge turmoil anyway pseudo tip point saw protest usa trump declar elect,1
awesom step guy appeal modi shri jai bhagwan goyal adopt barsana villag,1
actual like choic bjp chao sane indian vote narendra modi,0
content produc factori lie dangerouspeopl awar youcongress will spread lie social mediapleas come ground feel wave favour narind modi rajiv jain advisor haryana cmin repli video post surjewala,1
modi bum pal kind chowkidar give chowkidar bad name keep watch crimin bribe loot peopl chowkidar meant protect,2
wipe await modi aidmk front tamilnadu,0
yogi adityanath kept everi promis made farmer state elect modi interact everyon mann baat sushma swaraj humbl approach everyon talk rahul differ,2
bjp major role destabilis countri break harmoni ignor fact bjp modi take credit give credit divid peopl base cast colour creed religion languag profess region even food india shine,1
modi sarkar run away answer question rais claim kill balakot attack dont answer clear doubt hide behind pseudonation credibl crise,2
st highest court land absolv mrmodi godhra rememb godhra happend co burn aliv men women children lock jihadi,1
bro lick modi amut jaitley dhongi,0
modi kind person take sadist pleasu plight indian complain sarkar govern instead tag modi take pleasur show neg view,0
keep elect mind may add fuel fire modi wise enough use best possibl manner though reserv pend sanction prosecut financ ministri offici receiv absenc,1
say haffez masood terrorist haan allah faristey bheje thee jao ic hijack kar modi terrorist give proof call terrorist,0
bhadrak bhandaripokhari bhadrak loos elect row still get ticket new face import congress unabl take advantag modi wave,2
modi govern transform indian railway let look timelin,0
think modi repres hindu sorri der differ normal hindu chutia hindusbhajpaisanghi,2
million addit farmer get two instal ahead forthcom gener elect follow goahead govern let vote team modi prosper india,1
look lust modi power,0
here interest section work give comprehens glimps work variou sector last year detail report shout alway modi tak kiya kya,1
think everi citizen big assumpt pleas reflect write minut post,0
word guy said break jaw peopl chant modi modi mla expel parti say word person say pakistan jindabad ralli kashmir credibl,0
imagin hous fire allow take one thing take bagga tshirt yeddyurappa diari shekhar gupta fenc modi ill insid take nehru set fire,2
everi time smile someon action love gift person beauti thing mother teresa,1
nri disappoint modi modi madison squar wembley fact nowher horizon write,2
brilliant modi govern didnt dispos enemi asset made crore,1
india modi modi india fight traitor like congressaaptrinamoolsp other,0
mani bjp websit modi isnt bjp presid doesnt run bjp,1
everyth take time lose pride lose mind find peac mind gotta trust sign,0
book analys modi impact economi,0
patholog liar control polic hav play victim mani time first casualti modi surgic strike,1
problem nirav modi take care,0
narendra modi address two elect ralli west bengal april,0
watch narendra modi address world biofuel day,0
differ confid leader call upon action say vote kar request citizen exercis right hand opposit say hamein vote kare modi hataavo that differ,1
emot level sure long rule bjp fang serpent pull without kill serpent,1
would readi raj thakrey goe post atleast hypocrit like modi,1
modi govt notch first elect day becom first singl parti major govt year massiv mandat enabl give india mani first develop via namo app,1
realli great step guy appeal modi shri jai bhagwan goyal adopt barsana villag,1
